LECROYWaveRunnerHU,21832,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,11-Sep-2019 19:29:44,0                 
Time,Ampl
-2.500494e-07,-0.0338087
-2.499994e-07,-0.0359518
-2.499494e-07,-0.0379495
-2.498994e-07,-0.0387486
-2.498494e-07,-0.0384217
-2.497994e-07,-0.03755
-2.497494e-07,-0.0369688
-2.496994e-07,-0.0373684
-2.496494e-07,-0.0386033
-2.495994e-07,-0.0400562
-2.495494e-07,-0.0414002
-2.494994e-07,-0.042054
-2.494494e-07,-0.0418724
-2.493994e-07,-0.0412549
-2.493494e-07,-0.039802
-2.492994e-07,-0.0373684
-2.492494e-07,-0.035189
-2.491994e-07,-0.0335545
-2.491494e-07,-0.0320289
-2.490994e-07,-0.0308303
-2.490494e-07,-0.0303944
-2.489994e-07,-0.0311935
-2.489494e-07,-0.0321016
-2.488994e-07,-0.0317383
-2.488494e-07,-0.0304307
-2.487994e-07,-0.0288688
-2.487494e-07,-0.0273796
-2.486994e-07,-0.0258177
-2.486494e-07,-0.0241106
-2.485994e-07,-0.0229482
-2.485494e-07,-0.0222944
-2.484994e-07,-0.0212411
-2.484494e-07,-0.0197518
-2.483994e-07,-0.0182989
-2.483494e-07,-0.0171003
-2.482994e-07,-0.0154658
-2.482494e-07,-0.0127416
-2.481994e-07,-0.0102353
-2.481494e-07,-0.00907296
-2.480994e-07,-0.00878238
-2.480494e-07,-0.00900032
-2.479994e-07,-0.00939987
-2.479494e-07,-0.00987206
-2.478994e-07,-0.00990838
-2.478494e-07,-0.00969045
-2.477994e-07,-0.010199
-2.477494e-07,-0.011325
-2.476994e-07,-0.0126326
-2.476494e-07,-0.0133954
-2.475994e-07,-0.0129958
-2.475494e-07,-0.0112886
-2.474994e-07,-0.00885502
-2.474494e-07,-0.00678463
-2.473994e-07,-0.0056223
-2.473494e-07,-0.00515011
-2.472994e-07,-0.00471423
-2.472494e-07,-0.00398778
-2.471994e-07,-0.00398778
-2.471494e-07,-0.00515011
-2.470994e-07,-0.00631243
-2.470494e-07,-0.00692992
-2.469994e-07,-0.00751108
-2.469494e-07,-0.00874606
-2.468994e-07,-0.0105622
-2.468494e-07,-0.0123057
-2.467994e-07,-0.0141218
-2.467494e-07,-0.0160832
-2.466994e-07,-0.0177904
-2.466494e-07,-0.0194613
-2.465994e-07,-0.0212048
-2.465494e-07,-0.0223671
-2.464994e-07,-0.0226213
-2.464494e-07,-0.0227303
-2.463994e-07,-0.0235657
-2.463494e-07,-0.0245828
-2.462994e-07,-0.0244012
-2.462494e-07,-0.0228756
-2.461994e-07,-0.0212774
-2.461494e-07,-0.0206599
-2.460994e-07,-0.0210595
-2.460494e-07,-0.0215317
-2.459994e-07,-0.0211684
-2.459494e-07,-0.0200787
-2.458994e-07,-0.0187711
-2.458494e-07,-0.0175725
-2.457994e-07,-0.0170276
-2.457494e-07,-0.0172819
-2.456994e-07,-0.0171366
-2.456494e-07,-0.0160106
-2.455994e-07,-0.0149936
-2.455494e-07,-0.014594
-2.454994e-07,-0.0141581
-2.454494e-07,-0.0133954
-2.453994e-07,-0.0129958
-2.453494e-07,-0.0128142
-2.452994e-07,-0.0120514
-2.452494e-07,-0.0110707
-2.451994e-07,-0.0109617
-2.451494e-07,-0.0112523
-2.450994e-07,-0.0109981
-2.450494e-07,-0.0104532
-2.449994e-07,-0.0106348
-2.449494e-07,-0.0107801
-2.448994e-07,-0.00936354
-2.448494e-07,-0.00656669
-2.447994e-07,-0.00355191
-2.447494e-07,-0.00093667
-2.446994e-07,0.00146063
-2.446494e-07,0.00371264
-2.445994e-07,0.00552878
-2.445494e-07,0.00759917
-2.444994e-07,0.0101781
-2.444494e-07,0.0122848
-2.443994e-07,0.0133382
-2.443494e-07,0.0137377
-2.442994e-07,0.0137014
-2.442494e-07,0.0134471
-2.441994e-07,0.012757
-2.441494e-07,0.0115583
-2.440994e-07,0.0106866
-2.440494e-07,0.010505
-2.439994e-07,0.0103234
-2.439494e-07,0.00981486
-2.438994e-07,0.00916105
-2.438494e-07,0.00857989
-2.437994e-07,0.00854356
-2.437494e-07,0.00912473
-2.436994e-07,0.0095606
-2.436494e-07,0.0090884
-2.435994e-07,0.00745388
-2.435494e-07,0.0050929
-2.434994e-07,0.00276825
-2.434494e-07,0.000843144
-2.433994e-07,-0.000210215
-2.433494e-07,0.000189335
-2.432994e-07,0.00160592
-2.432494e-07,0.00255031
-2.431994e-07,0.00196915
-2.431494e-07,0.000298303
-2.430994e-07,-0.00166312
-2.430494e-07,-0.00384249
-2.429994e-07,-0.0068936
-2.429494e-07,-0.0110707
-2.428994e-07,-0.0151389
-2.428494e-07,-0.0172819
-2.427994e-07,-0.0177541
-2.427494e-07,-0.0180447
-2.426994e-07,-0.0181536
-2.426494e-07,-0.0178267
-2.425994e-07,-0.0180447
-2.425494e-07,-0.019316
-2.424994e-07,-0.0197155
-2.424494e-07,-0.0188801
-2.423994e-07,-0.0182989
-2.423494e-07,-0.0175725
-2.422994e-07,-0.01572
-2.422494e-07,-0.0136133
-2.421994e-07,-0.012451
-2.421494e-07,-0.0120151
-2.420994e-07,-0.0116156
-2.420494e-07,-0.0116882
-2.419994e-07,-0.0119788
-2.419494e-07,-0.0115792
-2.418994e-07,-0.01009
-2.418494e-07,-0.00758373
-2.417994e-07,-0.00453262
-2.417494e-07,-0.002099
-2.416994e-07,-0.00115461
-2.416494e-07,-0.00151783
-2.415994e-07,-0.002099
-2.415494e-07,-0.00155416
-2.414994e-07,0.000625208
-2.414494e-07,0.00331309
-2.413994e-07,0.00502026
-2.413494e-07,0.0055651
-2.412994e-07,0.00541981
-2.412494e-07,0.00494761
-2.411994e-07,0.00400322
-2.411494e-07,0.00298618
-2.410994e-07,0.00320412
-2.410494e-07,0.00407587
-2.409994e-07,0.00356735
-2.409494e-07,0.00167857
-2.408994e-07,-0.000210215
-2.408494e-07,-0.00144519
-2.407994e-07,-0.00249855
-2.407494e-07,-0.0028981
-2.406994e-07,-0.00173577
-2.406494e-07,-0.000355506
-2.405994e-07,-0.000246538
-2.405494e-07,-0.00122725
-2.404994e-07,-0.00217164
-2.404494e-07,-0.00257119
-2.403994e-07,-0.00300707
-2.403494e-07,-0.00416939
-2.402994e-07,-0.00591288
-2.402494e-07,-0.0080196
-2.401994e-07,-0.0103443
-2.401494e-07,-0.0116519
-2.400994e-07,-0.0114703
-2.400494e-07,-0.0104895
-2.399994e-07,-0.00969045
-2.399494e-07,-0.00910928
-2.398994e-07,-0.00798328
-2.398494e-07,-0.00711153
-2.397994e-07,-0.0076927
-2.397494e-07,-0.0092909
-2.396994e-07,-0.0107801
-2.396494e-07,-0.0115792
-2.395994e-07,-0.0122694
-2.395494e-07,-0.013577
-2.394994e-07,-0.0149572
-2.394494e-07,-0.0153931
-2.393994e-07,-0.0148846
-2.393494e-07,-0.0139765
-2.392994e-07,-0.0130321
-2.392494e-07,-0.0121604
-2.391994e-07,-0.0123057
-2.391494e-07,-0.0136859
-2.390994e-07,-0.0151025
-2.390494e-07,-0.0155384
-2.389994e-07,-0.0146303
-2.389494e-07,-0.0124147
-2.388994e-07,-0.00870973
-2.388494e-07,-0.00409675
-2.387994e-07,-0.000173892
-2.387494e-07,0.00313148
-2.386994e-07,0.00672743
-2.386494e-07,0.00952428
-2.385994e-07,0.0106503
-2.385494e-07,0.0111225
-2.384994e-07,0.0115583
-2.384494e-07,0.0123211
-2.383994e-07,0.0134471
-2.383494e-07,0.0142462
-2.382994e-07,0.0143552
-2.382494e-07,0.0140646
-2.381994e-07,0.0136287
-2.381494e-07,0.0135924
-2.380994e-07,0.0145005
-2.380494e-07,0.0161713
-2.379994e-07,0.0179148
-2.379494e-07,0.0194404
-2.378994e-07,0.0209296
-2.378494e-07,0.023
-2.377994e-07,0.0249614
-2.377494e-07,0.0261964
-2.376994e-07,0.0264507
-2.376494e-07,0.0253973
-2.375994e-07,0.0230727
-2.375494e-07,0.019731
-2.374994e-07,0.0163893
-2.374494e-07,0.0143915
-2.373994e-07,0.013774
-2.373494e-07,0.0143552
-2.372994e-07,0.0158444
-2.372494e-07,0.0168251
-2.371994e-07,0.0165709
-2.371494e-07,0.0156991
-2.370994e-07,0.0147184
-2.370494e-07,0.0138104
-2.369994e-07,0.0126844
-2.369494e-07,0.0112678
-2.368994e-07,0.0103234
-2.368494e-07,0.0101418
-2.367994e-07,0.00963324
-2.367494e-07,0.00752653
-2.366994e-07,0.00411219
-2.366494e-07,0.00026198
-2.365994e-07,-0.00395146
-2.365494e-07,-0.00765637
-2.364994e-07,-0.00976309
-2.364494e-07,-0.0106348
-2.363994e-07,-0.0115429
-2.363494e-07,-0.0127052
-2.362994e-07,-0.0137949
-2.362494e-07,-0.0146303
-2.361994e-07,-0.0156474
-2.361494e-07,-0.0169187
-2.360994e-07,-0.0181536
-2.360494e-07,-0.0191344
-2.359994e-07,-0.0198245
-2.359494e-07,-0.0206599
-2.358994e-07,-0.0214227
-2.358494e-07,-0.0216406
-2.357994e-07,-0.0222581
-2.357494e-07,-0.02382
-2.356994e-07,-0.0248007
-2.356494e-07,-0.0241832
-2.355994e-07,-0.022803
-2.355494e-07,-0.0220765
-2.354994e-07,-0.0218222
-2.354494e-07,-0.0213864
-2.353994e-07,-0.0213864
-2.353494e-07,-0.0216043
-2.352994e-07,-0.0206962
-2.352494e-07,-0.0182626
-2.351994e-07,-0.0153931
-2.351494e-07,-0.0132138
-2.350994e-07,-0.011325
-2.350494e-07,-0.00950883
-2.349994e-07,-0.00765637
-2.349494e-07,-0.00533172
-2.348994e-07,-0.00315236
-2.348494e-07,-0.00137254
-2.347994e-07,0.00066153
-2.347494e-07,0.00247767
-2.346994e-07,0.00385793
-2.346494e-07,0.00560142
-2.345994e-07,0.00723594
-2.345494e-07,0.00854356
-2.344994e-07,0.0102144
-2.344494e-07,0.0118126
-2.343994e-07,0.0123574
-2.343494e-07,0.0122122
-2.342994e-07,0.0125754
-2.342494e-07,0.0130839
-2.341994e-07,0.0132292
-2.341494e-07,0.0139193
-2.340994e-07,0.0159534
-2.340494e-07,0.0179148
-2.339994e-07,0.018387
-2.339494e-07,0.0180238
-2.338994e-07,0.0176606
-2.338494e-07,0.0169704
-2.337994e-07,0.0158444
-2.337494e-07,0.0146821
-2.336994e-07,0.0133018
-2.336494e-07,0.0112678
-2.335994e-07,0.00847092
-2.335494e-07,0.00534716
-2.334994e-07,0.00222341
-2.334494e-07,-0.00119093
-2.333994e-07,-0.00456894
-2.333494e-07,-0.00736579
-2.332994e-07,-0.00903664
-2.332494e-07,-0.00983574
-2.331994e-07,-0.0111797
-2.331494e-07,-0.0137949
-2.330994e-07,-0.0165918
-2.330494e-07,-0.0182626
-2.329994e-07,-0.0194613
-2.329494e-07,-0.0213864
-2.328994e-07,-0.023711
-2.328494e-07,-0.0259267
-2.327994e-07,-0.0276339
-2.327494e-07,-0.0292684
-2.326994e-07,-0.0309029
-2.326494e-07,-0.0323195
-2.325994e-07,-0.0333729
-2.325494e-07,-0.0344262
-2.324994e-07,-0.0357338
-2.324494e-07,-0.0368962
-2.323994e-07,-0.0386033
-2.323494e-07,-0.0410733
-2.322994e-07,-0.0431437
-2.322494e-07,-0.0446692
-2.321994e-07,-0.0464127
-2.321494e-07,-0.0483742
-2.320994e-07,-0.0501176
-2.320494e-07,-0.0518611
-2.319994e-07,-0.0540768
-2.319494e-07,-0.0565468
-2.318994e-07,-0.0587261
-2.318494e-07,-0.0600701
-2.317994e-07,-0.0599248
-2.317494e-07,-0.059053
-2.316994e-07,-0.0587625
-2.316494e-07,-0.0583992
-2.315994e-07,-0.05691
-2.315494e-07,-0.0550939
-2.314994e-07,-0.0533867
-2.314494e-07,-0.0516432
-2.313994e-07,-0.0501903
-2.313494e-07,-0.0491006
-2.312994e-07,-0.0487737
-2.312494e-07,-0.0492822
-2.311994e-07,-0.0504809
-2.311494e-07,-0.0522607
-2.310994e-07,-0.0540405
-2.310494e-07,-0.0555297
-2.309994e-07,-0.0562199
-2.309494e-07,-0.0560019
-2.308994e-07,-0.0553481
-2.308494e-07,-0.0546217
-2.307994e-07,-0.0539315
-2.307494e-07,-0.0537862
-2.306994e-07,-0.0539315
-2.306494e-07,-0.053423
-2.305994e-07,-0.0530598
-2.305494e-07,-0.0536046
-2.304994e-07,-0.054549
-2.304494e-07,-0.0562562
-2.303994e-07,-0.0588714
-2.303494e-07,-0.0611598
-2.302994e-07,-0.0624674
-2.302494e-07,-0.0630849
-2.301994e-07,-0.0640292
-2.301494e-07,-0.0664992
-2.300994e-07,-0.0700951
-2.300494e-07,-0.0737274
-2.299994e-07,-0.0771418
-2.299494e-07,-0.0802655
-2.298994e-07,-0.0826991
-2.298494e-07,-0.0844063
-2.297994e-07,-0.0850601
-2.297494e-07,-0.0846969
-2.296994e-07,-0.0838615
-2.296494e-07,-0.0829171
-2.295994e-07,-0.0824449
-2.295494e-07,-0.0830987
-2.294994e-07,-0.0845516
-2.294494e-07,-0.086622
-2.293994e-07,-0.0886197
-2.293494e-07,-0.0894915
-2.292994e-07,-0.0896731
-2.292494e-07,-0.0901816
-2.291994e-07,-0.0911987
-2.291494e-07,-0.0922883
-2.290994e-07,-0.0936323
-2.290494e-07,-0.0948672
-2.289994e-07,-0.0950852
-2.289494e-07,-0.0939955
-2.288994e-07,-0.0919978
-2.288494e-07,-0.0898547
-2.287994e-07,-0.087639
-2.287494e-07,-0.0857502
-2.286994e-07,-0.0850964
-2.286494e-07,-0.0848058
